sequence,v115@vhH5DJOkBlgBzkBlmBcsBKtB3qB,v115@vhHT/IlgBypBlmBcsBOtB5oB3qB,v115@vhH5DJTfBllB3mBcsBKtBmpBlqB,v115@vhHNEJzgB3mBcsBNtBGqB5oBaqB,v115@vhHOEJlgBzkB0mB3qBFtB5oBisB
TTOLSIZJ,X,X,X,X,X
TTOLSJIZ,X,X,X,X,X
TTOLSJZI,X,X,X,X,X
TTOLSZIJ,X,X,X,X,X
TTOLSZJI,X,X,X,X,X
TTOLZIJS,X,X,X,X,X
TTOLZISJ,X,X,X,X,X
TTOLZJIS,X,X,X,X,X
TTOLZJSI,X,X,X,X,X
TTOLZSIJ,X,X,X,X,X
TTOLZSJI,X,X,X,X,X
TTOJILSZ,X,X,X,X,X
TTOJILZS,X,X,X,X,X
TTOJISLZ,X,X,X,X,X
TTOJISZL,X,X,X,X,X
TTOJIZLS,X,X,X,X,X
TTOJIZSL,X,X,X,X,X
TTOJLISZ,X,X,X,X,X
TTOJLIZS,X,X,X,X,X
TTOJLSIZ,X,X,X,X,X
TTOJLSZI,X,X,X,X,X
TTOJLZIS,X,X,X,X,X
TTOJLZSI,X,X,X,X,X
TTOJSILZ,X,X,X,X,X
TTOJSIZL,X,X,X,X,X
TTOJSLIZ,X,X,X,X,X
TTOJSLZI,X,X,X,X,X
TTOJSZIL,X,X,X,X,X
TTOJSZLI,X,X,X,X,X
TTOJZILS,X,X,X,X,X
TTOJZISL,X,X,X,X,X
TTOJZLIS,X,X,X,X,X
TTOJZLSI,X,X,X,X,X
TTOJZSIL,X,X,X,X,X
TTOJZSLI,X,X,X,X,X
TTOSILJZ,X,X,X,X,X
TTOSILZJ,X,X,X,X,X
TTOSIJLZ,X,X,X,X,X
TTOSIJZL,X,X,X,X,X
TTOSIZLJ,X,X,X,X,X
TTOSIZJL,X,X,X,X,X
TTOSLIJZ,X,X,X,X,X
TTOSLIZJ,X,X,X,X,X
TTOSLJIZ,X,X,X,X,X
TTOSLJZI,X,X,X,X,X
TTOSLZIJ,X,X,X,X,X
TTOSLZJI,X,X,X,X,X
TTOSJILZ,X,X,X,X,X
TTOSJIZL,X,X,X,X,X
TTOSJLIZ,X,X,X,X,X
TTOSJLZI,X,X,X,X,X
TTOSJZIL,X,X,X,X,X
TTOSJZLI,X,X,X,X,X
TTOSZILJ,X,X,X,X,X
TTOSZIJL,X,X,X,X,X
TTOSZLIJ,X,X,X,X,X
TTOSZLJI,X,X,X,X,X
TTOSZJIL,X,X,X,X,X
TTOSZJLI,X,X,X,X,X
